active,item_id,name,brand,category,price,original_price,discount,badge,specs,keywords,variants,link_shopee,in_stock,updated_at
TRUE,48812712426,Nước rửa chén Vitamin E Pano Hương chanh Sạch dầu mỡ khử mùi tanh dịu da tay Nhiều dung tích,PANO,Nước rửa chén,12350,13140,6%,BEST_SELLER_TOP_1,Nước rửa chén Vitamin E Pano Hương chanh Sạch dầu mỡ khử mùi tanh dịu da tay Nhiều dung tích,ban chay; best seller; nước rửa chén; pano; vitamin e,PANO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-ch%C3%A9n-Vitamin-E-Pano-H%C6%B0%C6%A1ng-chanh-S%E1%BA%A1ch-d%E1%BA%A7u-m%E1%BB%A1-kh%E1%BB%AD-m%C3%B9i-tanh-d%E1%BB%8Bu-da-tay-Nhi%E1%BB%81u-dung-t%C3%ADch-i.20523065.48812712426,TRUE,2026-08-18
TRUE,52063408473,[GIÁ RẺ] Bột giặt Pano Hương cam chanh oải hương Sạch quần áo ít cặn lưu hương lâu Túi 300g 2.4kg 5.5kg,PANO,Bột giặt,46350,51500,10%,BEST_SELLER_TOP_2,[GIÁ RẺ] Bột giặt Pano Hương cam chanh oải hương Sạch quần áo ít cặn lưu hương lâu Túi 300g 2.4kg 5.5kg,ban chay; best seller; bột giặt; cam chanh; pano,PANO,https://shopee.vn/-GI%C3%81-R%E1%BA%BA-B%E1%BB%99t-gi%E1%BA%B7t-Pano-H%C6%B0%C6%A1ng-cam-chanh-o%E1%BA%A3i-h%C6%B0%C6%A1ng-S%E1%BA%A1ch-qu%E1%BA%A7n-%C3%A1o-%C3%ADt-c%E1%BA%B7n-l%C6%B0u-h%C6%B0%C6%A1ng-l%C3%A2u-T%C3%BAi-300g-2.4kg-5.5kg-i.20523065.52063408473,TRUE,2026-08-18
TRUE,40332260600,Bột giặt ZeO Nha Đam lưu hương kép 400g 720g hương nha đam the mát giặt tay giặt máy dịu nhẹ sạch vết bẩn,ZeO,Bột giặt,17550,27000,35%,BEST_SELLER_TOP_3,Bột giặt ZeO Nha Đam lưu hương kép 400g 720g hương nha đam the mát giặt tay giặt máy dịu nhẹ sạch vết bẩn,ban chay; best seller; bột giặt; zeo,ZeO,https://shopee.vn/B%E1%BB%99t-gi%E1%BA%B7t-ZeO-Nha-%C4%90am-l%C6%B0u-h%C6%B0%C6%A1ng-k%C3%A9p-400g-720g-h%C6%B0%C6%A1ng-nha-%C4%91am-the-m%C3%A1t-gi%E1%BA%B7t-tay-gi%E1%BA%B7t-m%C3%A1y-d%E1%BB%8Bu-nh%E1%BA%B9-s%E1%BA%A1ch-v%E1%BA%BFt-b%E1%BA%A9n-i.20523065.40332260600,TRUE,2026-08-18
TRUE,22487353728,Nước giặt Pano Hương táo dứa hoa nhài đào Làm sạch khử mùi lưu hương lâu Túi 3.5kg,PANO,Nước giặt,95058,202251,53%,BEST_SELLER_TOP_4,Nước giặt Pano Hương táo dứa hoa nhài đào Làm sạch khử mùi lưu hương lâu Túi 3.5kg,ban chay; best seller; nước giặt; pano,PANO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-Pano-H%C6%B0%C6%A1ng-t%C3%A1o-d%E1%BB%A9a-hoa-nh%C3%A0i-%C4%91%C3%A0o-L%C3%A0m-s%E1%BA%A1ch-kh%E1%BB%AD-m%C3%B9i-l%C6%B0u-h%C6%B0%C6%A1ng-l%C3%A2u-T%C3%BAi-3.5kg-i.20523065.22487353728,TRUE,2026-08-18
TRUE,24182154808,Nước tẩy toilet đậm đặc ZeO Hương trái cây Tẩy cặn vôi ố vàng khử mùi hôi Chai 650ml,ZeO,Tẩy Toilet,23000,46000,50%,BEST_SELLER_TOP_5,Nước tẩy toilet đậm đặc ZeO Hương trái cây Tẩy cặn vôi ố vàng khử mùi hôi Chai 650ml,ban chay; best seller; tẩy toilet; zeo,ZeO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-t%E1%BA%A9y-toilet-%C4%91%E1%BA%ADm-%C4%91%E1%BA%B7c-ZeO-H%C6%B0%C6%A1ng-tr%C3%A1i-c%C3%A2y-T%E1%BA%A9y-c%E1%BA%B7n-v%C3%B4i-%E1%BB%91-v%C3%A0ng-kh%E1%BB%AD-m%C3%B9i-h%C3%B4i-Chai-650ml-i.20523065.24182154808,TRUE,2026-08-18
TRUE,21036221733,Nước tẩy quần áo trắng ZeO Javel chai 500ml 1000ml không hương liệu tẩy trắng mạnh diệt khuẩn quần áo bề mặt,ZeO,Nước tẩy trắng Javen,10400,16000,35%,BEST_SELLER_TOP_6,Nước tẩy quần áo trắng ZeO Javel chai 500ml 1000ml không hương liệu tẩy trắng mạnh diệt khuẩn quần áo bề mặt,ban chay; best seller; javel; nước tẩy trắng javen; zeo,ZeO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-t%E1%BA%A9y-qu%E1%BA%A7n-%C3%A1o-tr%E1%BA%AFng-ZeO-Javel-chai-500ml-1000ml-kh%C3%B4ng-h%C6%B0%C6%A1ng-li%E1%BB%87u-t%E1%BA%A9y-tr%E1%BA%AFng-m%E1%BA%A1nh-di%E1%BB%87t-khu%E1%BA%A9n-qu%E1%BA%A7n-%C3%A1o-b%E1%BB%81-m%E1%BA%B7t-i.20523065.21036221733,TRUE,2026-08-18
TRUE,49463437973,Nước rửa chén Pano Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay 400g 800g 1.5kg,PANO,Nước rửa chén,13000,22800,43%,BEST_SELLER_TOP_7,Nước rửa chén Pano Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay 400g 800g 1.5kg,ban chay; best seller; nước rửa chén; pano,PANO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-ch%C3%A9n-Pano-H%C6%B0%C6%A1ng-chanh-t%E1%BB%B1-nhi%C3%AAn-S%E1%BA%A1ch-d%E1%BA%A7u-m%E1%BB%A1-kh%E1%BB%AD-m%C3%B9i-tanh-d%E1%BB%8Bu-da-tay-400g-800g-1.5kg-i.20523065.49463437973,TRUE,2026-08-18
TRUE,42401783886,[COMBO] 10 gói Nước xả vải Nano Clean ZeO Hương hoa trắng xạ hương Mềm vải giảm nhăn 10 gói x 20g,ZeO,Nước xả vải,17100,18000,5%,BEST_SELLER_TOP_8,[COMBO] 10 gói Nước xả vải Nano Clean ZeO Hương hoa trắng xạ hương Mềm vải giảm nhăn 10 gói x 20g,ban chay; best seller; nano clean; nước xả vải; zeo,ZeO,https://shopee.vn/-COMBO-10-g%C3%B3i-N%C6%B0%E1%BB%9Bc-x%E1%BA%A3-v%E1%BA%A3i-Nano-Clean-ZeO-H%C6%B0%C6%A1ng-hoa-tr%E1%BA%AFng-x%E1%BA%A1-h%C6%B0%C6%A1ng-M%E1%BB%81m-v%E1%BA%A3i-gi%E1%BA%A3m-nh%C4%83n-10-g%C3%B3i-x-20g-i.20523065.42401783886,TRUE,2026-08-18
TRUE,17978063713,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch quần áo mềm vải lưu hương cả ngày Can 1kg 3.5kg,Oplus,Nước giặt,62100,69000,10%,BEST_SELLER_TOP_9,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch quần áo mềm vải lưu hương cả ngày Can 1kg 3.5kg,2in1; ban chay; best seller; nước giặt; oplus,Oplus,https://shopee.vn/N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-2in1-Oplus-H%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-hoa-Ph%C3%A1p-S%E1%BA%A1ch-qu%E1%BA%A7n-%C3%A1o-m%E1%BB%81m-v%E1%BA%A3i-l%C6%B0u-h%C6%B0%C6%A1ng-c%E1%BA%A3-ng%C3%A0y-Can-1kg-3.5kg-i.20523065.17978063713,TRUE,2026-08-18
TRUE,19119327902,[SIÊU TIẾT KIỆM] Nước lau sàn Pano Hương Hoa Hạ phấn em bé Sạch sàn khử mùi thơm lâu Chai Can 1kg 3.8kg,PANO,Nước lau sàn,29450,52500,44%,BEST_SELLER_TOP_10,[SIÊU TIẾT KIỆM] Nước lau sàn Pano Hương Hoa Hạ phấn em bé Sạch sàn khử mùi thơm lâu Chai Can 1kg 3.8kg,ban chay; best seller; nước lau sàn; pano,PANO,https://shopee.vn/-SI%C3%8AU-TI%E1%BA%BET-KI%E1%BB%86M-N%C6%B0%E1%BB%9Bc-lau-s%C3%A0n-Pano-H%C6%B0%C6%A1ng-Hoa-H%E1%BA%A1-ph%E1%BA%A5n-em-b%C3%A9-S%E1%BA%A1ch-s%C3%A0n-kh%E1%BB%AD-m%C3%B9i-th%C6%A1m-l%C3%A2u-Chai-Can-1kg-3.8kg-i.20523065.19119327902,TRUE,2026-08-18
